map,slip,gamma,candidate_kind,candidate_top_fraction,local_horizon,hidden_threshold,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,split_candidate_state,split_candidate_coord,split_candidate_score,description_length_proxy,step,stop_reason
corridor,0.0,0.97,bottleneck,0.15,999.0,1e-06,11,2,2,2,2,0,0.0,0.0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,,,0.0,7.8999999999999995,0,hidden_threshold
corridor,0.05,0.97,bottleneck,0.15,999.0,1e-06,11,2,2,2,2,0,0.0,0.0,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,,,0.0,7.886666666666667,0,hidden_threshold
open_room,0.0,0.97,bottleneck,0.15,999.0,1e-06,35,2,7,2,0,2,2.0,1.0,False,nan,-8.75252910350239,inf,inf,INFEASIBLE,30.0,5.0,15.0,2.5,30.0,5.0,3,"(1, 4)",1.0,12.6,0,continue
open_room,0.0,0.97,bottleneck,0.15,999.0,1e-06,35,3,7,6,2,4,4.0,1.0,False,nan,-8.75252910350239,inf,inf,INFEASIBLE,92.0,16.0,15.333333333333334,2.6666666666666665,46.0,8.0,2,"(1, 3)",2.0,36.36666666666667,1,continue
open_room,0.0,0.97,bottleneck,0.15,999.0,1e-06,35,4,7,12,9,3,3.0,1.0,True,-33.33333333020108,-8.75252910350239,24.58080422669869,26.932761489475205,fb_000_to_001,186.0,33.0,15.5,2.75,62.0,11.0,30,"(5, 3)",2.0,72.55000000000001,2,continue
open_room,0.0,0.97,bottleneck,0.15,999.0,1e-06,35,5,7,20,16,4,4.0,1.0,True,-33.33333333020108,-8.75252910350239,24.58080422669869,29.509760330386197,fb_000_to_001,320.0,60.0,16.0,3.0,80.0,15.0,31,"(5, 4)",3.0,123.2,3,continue
open_room,0.0,0.97,bottleneck,0.15,999.0,1e-06,35,6,7,30,27,3,3.0,1.0,True,-33.33333333020108,-8.75252910350239,24.58080422669869,30.422433330104205,fb_000_to_001,490.0,95.0,16.333333333333332,3.1666666666666665,98.0,19.0,32,"(5, 5)",3.0,187.5,4,continue
open_room,0.0,0.97,bottleneck,0.15,999.0,1e-06,35,7,7,42,42,0,0.0,0.0,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,696.0,138.0,16.571428571428573,3.2857142857142856,116.0,23.0,,,0.0,265.3,5,hidden_threshold
open_room,0.05,0.97,bottleneck,0.15,999.0,1e-06,35,2,7,2,0,2,1.9999998063004596,0.9999999485709204,False,nan,-9.19001272578314,inf,inf,INFEASIBLE,28.4,5.0,14.2,2.5,28.4,5.0,3,"(1, 4)",0.9996746574101457,12.28,0,continue
open_room,0.05,0.97,bottleneck,0.15,999.0,1e-06,35,3,7,6,0,6,3.9980123660304865,0.9999997661275815,False,nan,-9.19001272578314,inf,inf,INFEASIBLE,87.26666666666665,16.0,14.544444444444443,2.6666666666666665,43.63333333333333,8.0,2,"(1, 3)",1.9999894828791576,34.75333333333333,1,continue
open_room,0.05,0.97,bottleneck,0.15,999.0,1e-06,35,4,7,12,6,6,2.962604879006115,0.9996820136383227,True,-33.33325614477566,-9.19001272578314,24.14324341899252,26.565337163098945,fb_000_to_001,176.59999999999997,33.0,14.716666666666663,2.75,58.86666666666667,11.0,30,"(5, 3)",1.9355867148705628,69.91999999999999,2,continue
open_room,0.05,0.97,bottleneck,0.15,999.0,1e-06,35,5,7,20,6,14,4.015842283410442,0.9999999053483539,False,nan,-9.19001272578314,inf,inf,INFEASIBLE,303.8666666666666,60.0,15.193333333333332,3.0,75.96666666666667,15.0,31,"(5, 4)",2.889403510262593,117.97333333333333,3,continue
open_room,0.05,0.97,bottleneck,0.15,999.0,1e-06,35,6,7,30,6,24,3.2429805325837817,0.9999946991887847,False,nan,-9.19001272578314,inf,inf,INFEASIBLE,465.3333333333333,95.0,15.511111111111111,3.1666666666666665,93.06666666666666,19.0,32,"(5, 5)",3.2429805206689872,179.06666666666666,4,continue
open_room,0.05,0.97,bottleneck,0.15,999.0,1e-06,35,7,7,42,42,0,0.0,0.0,True,-9.268811904242996,-9.19001272578314,0.07879917845985673,0.08312774603187645,fb_000_to_006,661.0,138.0,15.738095238095237,3.2857142857142856,110.16666666666666,23.0,,,0.0,258.3,5,hidden_threshold
four_rooms,0.0,0.97,bottleneck,0.15,999.0,1e-06,51,2,10,2,0,2,2.0,1.0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,66.0,11.0,33.0,5.5,66.0,11.0,26,"(3, 7)",1.0,22.8,0,continue
four_rooms,0.0,0.97,bottleneck,0.15,999.0,1e-06,51,3,10,6,2,4,4.0,1.0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,216.0,34.0,36.0,5.666666666666667,108.0,17.0,24,"(3, 5)",3.0,70.16666666666667,1,continue
four_rooms,0.0,0.97,bottleneck,0.15,999.0,1e-06,51,4,10,12,10,2,2.0,1.0,True,-33.333333331998375,-11.57212408464641,21.761209247351964,27.76573349612541,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,14,"(2, 5)",1.0,143.6,2,continue
four_rooms,0.0,0.97,bottleneck,0.15,999.0,1e-06,51,5,10,20,19,1,1.0,1.0,True,-33.33333333047461,-11.57212408464641,21.761209245828198,27.76573349450108,fb_000_to_001,768.0,116.0,38.4,5.8,192.0,29.0,36,"(4, 7)",1.0,241.40000000000003,3,continue
four_rooms,0.0,0.97,bottleneck,0.15,999.0,1e-06,51,6,10,30,30,0,0.0,0.0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,1170.0,175.0,39.0,5.833333333333333,234.0,35.0,,,0.0,364.0,4,hidden_threshold
four_rooms,0.05,0.97,bottleneck,0.15,999.0,1e-06,51,2,10,2,0,2,1.9999999999999998,1.0000000000000002,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,62.0,11.0,31.0,5.5,62.0,11.0,24,"(3, 5)",0.9990668080632296,22.0,0,continue
four_rooms,0.05,0.97,bottleneck,0.15,999.0,1e-06,51,3,10,6,0,6,3.9855017041130605,0.9999999999999996,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,203.20000000000002,34.0,33.86666666666667,5.666666666666667,101.60000000000001,17.0,26,"(3, 7)",2.963650794116688,66.94000000000001,1,continue
four_rooms,0.05,0.97,bottleneck,0.15,999.0,1e-06,51,4,10,12,0,12,2.11021662619579,0.9833430938188029,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,14,"(2, 5)",1.0008712179415435,135.82000000000002,2,continue
four_rooms,0.05,0.97,bottleneck,0.15,999.0,1e-06,51,5,10,20,1,19,1.1608201113951628,0.9833430938188028,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,722.7999999999997,116.0,36.139999999999986,5.8,180.7,29.0,36,"(4, 7)",1.018112497124682,228.75999999999993,3,continue
four_rooms,0.05,0.97,bottleneck,0.15,999.0,1e-06,51,6,10,30,2,28,0.17633643536747617,0.017241542551251383,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,1101.0,175.0,36.7,5.833333333333333,220.2,35.0,15,"(2, 7)",0.08565303270216904,345.53333333333336,4,continue
four_rooms,0.05,0.97,bottleneck,0.15,999.0,1e-06,51,7,10,42,11,31,0.12558005986334256,0.018130773654053092,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,1558.2,246.0,37.1,5.857142857142857,259.7,41.0,35,"(4, 5)",0.10289951936274432,487.3114285714286,5,continue
four_rooms,0.05,0.97,bottleneck,0.15,999.0,1e-06,51,8,10,56,24,32,0.039747158127057654,0.018130773654053092,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,2094.3999999999996,329.0,37.39999999999999,5.875,299.20000000000005,47.0,7,"(1, 9)",0.019870156084695743,653.18,6,continue
four_rooms,0.05,0.97,bottleneck,0.15,999.0,1e-06,51,9,10,72,54,18,0.020207749005084142,0.01813077365405309,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,2649.866666666667,424.0,36.803703703703704,5.888888888888889,331.2333333333334,53.0,43,"(5, 3)",0.0202037105730365,832.5733333333334,7,continue
four_rooms,0.05,0.97,bottleneck,0.15,999.0,1e-06,51,10,10,90,90,0,0.0,0.0,True,-12.301146070262899,-12.185911752175528,0.11523431808737072,0.11523431808737072,fb_000_to_001,3286.2,540.0,36.51333333333333,6.0,365.1333333333334,60.0,,,0.0,1040.74,8,hidden_threshold
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,2,13,2,0,2,2.0,1.0,False,nan,-22.199077937496824,inf,inf,INFEASIBLE,134.0,65.0,67.0,32.5,134.0,65.0,57,"(5, 19)",1.0,63.4,0,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,3,13,6,3,3,3.0,1.0,False,nan,-22.199077937496824,inf,inf,INFEASIBLE,400.0,194.0,66.66666666666667,32.333333333333336,200.0,97.0,55,"(5, 17)",2.0,187.3,1,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,4,13,12,11,1,1.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,804.0,390.0,67.0,32.5,268.0,130.0,44,"(5, 3)",1.0,375.15,2,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,5,13,20,16,4,4.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,4.092379244310454,fb_000_to_002,1344.0,652.0,67.2,32.6,336.0,163.0,42,"(5, 1)",3.0,624.0,3,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,6,13,30,25,5,5.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,5.480108110183913,fb_000_to_003,2010.0,975.0,67.0,32.5,402.0,195.0,64,"(7, 1)",3.0,931.1666666666667,4,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,7,13,42,36,6,6.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,6.888180239324811,fb_000_to_003,2820.0,1368.0,67.14285714285714,32.57142857142857,470.0,228.0,76,"(7, 15)",3.0,1304.2428571428572,5,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,8,13,56,48,8,8.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,6.888180239324811,fb_000_to_003,3766.0,1827.0,67.25,32.625,538.0,261.0,54,"(5, 15)",4.0,1739.5,6,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,9,13,72,63,9,9.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,6.888180239324811,fb_000_to_004,4832.0,2344.0,67.11111111111111,32.55555555555556,604.0,293.0,68,"(7, 5)",5.0,2230.0,7,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,10,13,90,80,10,10.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,9.786357397078955,fb_000_to_004,6048.0,2934.0,67.2,32.6,672.0,326.0,52,"(5, 13)",5.0,2789.1000000000004,8,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,11,13,110,99,11,11.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,9.786357397078955,fb_000_to_005,7400.0,3590.0,67.27272727272727,32.63636363636363,740.0,359.0,45,"(5, 5)",6.0,3410.5,9,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,12,13,132,120,12,12.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,11.287221042079038,fb_000_to_006,8866.0,4301.0,67.16666666666667,32.583333333333336,806.0,391.0,47,"(5, 7)",12.0,4084.3,10,continue
maze,0.0,0.97,bottleneck,0.15,999.0,1e-06,81,13,13,156,156,0,0.0,0.0,True,-22.199077937496824,-22.199077937496824,0.0,3.552713678800501e-15,fb_000_to_001,10488.0,5088.0,67.23076923076923,32.61538461538461,874.0,424.0,,,0.0,4830.4,11,hidden_threshold
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,2,13,2,0,2,1.9999999999999996,0.9999999999999998,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,125.4666666666667,65.0,62.73333333333335,32.5,125.4666666666667,65.0,57,"(5, 19)",0.9827638342908979,61.69333333333334,0,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,3,13,6,1,5,3.017236260412786,0.9999999999999997,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,374.5333333333334,194.0,62.42222222222224,32.333333333333336,187.2666666666667,97.0,55,"(5, 17)",1.9999946933268937,181.54000000000002,1,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,4,13,12,9,3,1.0000003755797422,0.982758620690149,True,-23.018047231825573,-23.006540118833655,0.011507112991917978,0.011507112991917978,fb_000_to_001,752.8000000000001,390.0,62.73333333333334,32.5,250.9333333333334,130.0,44,"(5, 3)",0.9827639273632531,364.41,2,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,5,13,20,14,6,4.017230957005319,0.9999999999708512,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,1258.4000000000005,652.0,62.92000000000003,32.6,314.6000000000001,163.0,42,"(5, 1)",3.000302388871084,606.4800000000001,3,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,6,13,30,22,8,5.016313088844304,0.9996923076923078,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,1882.0000000000007,975.0,62.733333333333356,32.5,376.4000000000001,195.0,64,"(7, 1)",2.9996923076923077,905.0666666666668,4,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,7,13,42,35,7,6.0153899173340974,0.9996922130177603,True,-23.018049136648642,-23.006540118833655,0.011509017814987033,6.841412884023633,fb_000_to_003,2640.4000000000005,1368.0,62.86666666666668,32.57142857142857,440.0666666666668,228.0,76,"(7, 15)",3.016312804762383,1268.1800000000003,5,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,8,13,56,45,11,7.99969211831407,0.9999999052963129,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,3526.133333333334,1827.0,62.96666666666668,32.625,503.73333333333346,261.0,54,"(5, 15)",4.0009229821319705,1691.1516666666669,6,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,9,13,72,59,13,8.99846134919986,0.9996923076923078,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,4524.266666666667,2344.0,62.83703703703705,32.55555555555556,565.5333333333334,293.0,68,"(7, 5)",4.998461065088799,2168.008888888889,7,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,10,13,90,72,18,10.00092298210283,0.9999999052963129,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,5662.800000000001,2934.0,62.92000000000001,32.6,629.2,326.0,45,"(5, 5)",5.0012306744105235,2711.26,8,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,11,13,110,90,20,10.999384615384615,0.9996923076923079,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,6910.000000000002,3580.0,62.818181818181834,32.54545454545455,691.0,358.0,52,"(5, 13)",5.999384615384616,3306.681818181819,9,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,12,13,132,115,17,11.9978774160286,0.9996975180560488,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,8302.433333333336,4301.0,62.89722222222224,32.583333333333336,754.7666666666667,391.0,47,"(5, 7)",11.9978774160286,3971.170000000001,10,continue
maze,0.05,0.97,bottleneck,0.15,999.0,1e-06,81,13,13,156,156,0,0.0,0.0,True,-23.006540118862798,-23.006540118833655,2.914291030720051e-11,2.914291030720051e-11,fb_000_to_012,9822.400000000001,5088.0,62.964102564102575,32.61538461538461,818.5333333333333,424.0,,,0.0,4697.280000000001,11,hidden_threshold
