map_family,map_size,map,slip,method,benchmark_mode,n_states,n_boundary,state_compression_ratio,boundary,iterative_candidate_recompute,selection_time_sec,final_kernel_time_sec,graph_solve_time_sec,total_time_sec,sparse_vi_time_sec,operator_speedup_vs_sparse_vi,planning_speedup_vs_sparse_vi,total_speedup_vs_sparse_vi,start_gap,normalized_start_gap,value_gap_max,normalized_value_gap_max,D_occ,D_model,D_audit_cvar95,n_probe_anchors,n_operator_selected,probe_anchors,selected_states,selection_reasons,operator_used_steps_max,operator_frontier_max,operator_message_passing_sparse,error,timestamp,candidate_universe_time_sec,probe_build_time_sec,green_message_passing_time_sec,operator_apply_time_sec,threshold_time_sec,total_operator_time_sec,reference_iterative_n_boundary,reference_iterative_D_occ,selection_speedup_vs_iterative
corridor,256,corridor_256,0.0,one_shot_rd_t0p15,operator_only,256,2,128.0,"[0, 255]",False,0.0026165939634665847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,[],[],{},0,0.0,True,,2026-07-10T21:51:08,0.0025263670831918716,0.0,0.0,0.0,0.0,0.0026165939634665847,2.0,0.0,1346.1955600172287
corridor,256,corridor_256,0.05,one_shot_rd_t0p15,operator_only,256,2,128.0,"[0, 255]",False,0.0026946300640702248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,[],[],{},0,0.0,True,,2026-07-10T21:51:08,0.002619126928038895,0.0,0.0,0.0,0.0,0.0026946300640702248,2.0,0.0,1609.5692261543504
corridor,256,corridor_256,0.1,one_shot_rd_t0p15,operator_only,256,2,128.0,"[0, 255]",False,0.0026603250298649073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,[],[],{},0,0.0,True,,2026-07-10T21:51:08,0.0025833590188995004,0.0,0.0,0.0,0.0,0.0026603250298649073,2.0,0.0,1762.9576425263624
corridor,512,corridor_512,0.0,one_shot_rd_t0p15,operator_only,512,2,256.0,"[0, 511]",False,0.004975526011548936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,[],[],{},0,0.0,True,,2026-07-10T21:51:08,0.004836249980144203,0.0,0.0,0.0,0.0,0.004975526011548936,2.0,0.0,2835.6442848939323
corridor,512,corridor_512,0.05,one_shot_rd_t0p15,operator_only,512,2,256.0,"[0, 511]",False,0.005538618075661361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,[],[],{},0,0.0,True,,2026-07-10T21:51:08,0.005399139015935361,0.0,0.0,0.0,0.0,0.005538618075661361,2.0,0.0,2790.2899197725624
corridor,512,corridor_512,0.1,one_shot_rd_t0p15,operator_only,512,2,256.0,"[0, 511]",False,0.00536877999547869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,[],[],{},0,0.0,True,,2026-07-10T21:51:08,0.005219492944888771,0.0,0.0,0.0,0.0,0.00536877999547869,2.0,0.0,3071.0313793564865
corridor,1024,corridor_1024,0.0,one_shot_rd_t0p15,operator_only,1024,2,512.0,"[0, 1023]",False,0.009379352093674242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,[],[],{},0,0.0,True,,2026-07-10T21:51:08,0.009100102004595101,0.0,0.0,0.0,0.0,0.009379352093674242,2.0,0.0,3179.0095857573565
corridor,1024,corridor_1024,0.05,one_shot_rd_t0p15,operator_only,1024,2,512.0,"[0, 1023]",False,0.011414860025979578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,[],[],{},0,0.0,True,,2026-07-10T21:51:08,0.011140151065774262,0.0,0.0,0.0,0.0,0.011414860025979578,2.0,0.0,2599.5346039685246
corridor,1024,corridor_1024,0.1,one_shot_rd_t0p15,operator_only,1024,2,512.0,"[0, 1023]",False,0.011055890005081892,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,[],[],{},0,0.0,True,,2026-07-10T21:51:08,0.010794200003147125,0.0,0.0,0.0,0.0,0.011055890005081892,2.0,0.0,2730.7340879067833
open_room,24,open_room_24,0.0,one_shot_rd_t0p15,operator_only,576,3,192.0,"[0, 552, 575]",False,0.05845333798788488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,1,"[0, 575]",[552],"{""552"": [""control"", ""flow"", ""green"", ""topology""]}",47,0.0,True,,2026-07-10T21:51:08,0.007338900002650917,0.012369439005851746,0.003126629046164453,0.035327716963365674,0.00016853504348546267,0.05845333798788488,2.0,1.0,49.15579301193453
open_room,24,open_room_24,0.05,one_shot_rd_t0p15,operator_only,576,3,192.0,"[0, 552, 575]",False,0.06368278106674552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,1,"[0, 575]",[552],"{""552"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",67,8.467257521587482e-07,True,,2026-07-10T21:51:08,0.008225696976296604,0.014140421990305185,0.0034500829642638564,0.03757596400100738,0.0001913940068334341,0.06368278106674552,2.0,0.7206398280282115,56.30621502304685
open_room,24,open_room_24,0.1,one_shot_rd_t0p15,operator_only,576,3,192.0,"[0, 552, 575]",False,0.06452780694235116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,1,"[0, 575]",[552],"{""552"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",78,8.202881056299866e-07,True,,2026-07-10T21:51:08,0.008710238034836948,0.014283171040005982,0.003924179007299244,0.0372779939789325,0.00021388090681284666,0.06452780694235116,2.0,0.5677232838643012,66.87066481051194
open_room,32,open_room_32,0.0,one_shot_rd_t0p15,operator_only,1024,3,341.3333333333333,"[0, 992, 1023]",False,0.09889719891361892,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,1,"[0, 1023]",[992],"{""992"": [""control"", ""flow"", ""green"", ""topology""]}",63,0.0,True,,2026-07-10T21:51:08,0.012265475932508707,0.021511406055651605,0.0036934949457645416,0.061064543086104095,0.00021652504801750183,0.09889719891361892,2.0,1.0,81.15735186816629
open_room,32,open_room_32,0.05,one_shot_rd_t0p15,operator_only,1024,3,341.3333333333333,"[0, 992, 1023]",False,0.11052300303708762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,1,"[0, 1023]",[992],"{""992"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",85,6.68420115172482e-07,True,,2026-07-10T21:51:08,0.015692710992880166,0.024754522019065917,0.004485273035243154,0.06524534500204027,0.00020273798145353794,0.11052300303708762,2.0,0.6599973852766782,96.2255419845227
open_room,32,open_room_32,0.1,one_shot_rd_t0p15,operator_only,1024,3,341.3333333333333,"[0, 992, 1023]",False,0.10995680303312838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,1,"[0, 1023]",[992],"{""992"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",98,8.59197412797731e-07,True,,2026-07-10T21:51:09,0.015290373004972935,0.024920937954448164,0.005176790989935398,0.06421249604318291,0.00020973291248083115,0.10995680303312838,2.0,0.5030996418331549,108.29737642880062
four_rooms,21,four_rooms_21,0.0,one_shot_rd_t0p15,operator_only,404,4,101.0,"[0, 181, 394, 403]",False,0.05778397596441209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,"[0, 403]","[181, 394]","{""181"": [""control"", ""flow"", ""green"", ""topology""], ""394"": [""control"", ""flow"", ""green"", ""topology""]}",41,0.0,True,,2026-07-10T21:51:09,0.023268698016181588,0.00849446002393961,0.0021506960038095713,0.02367145090829581,0.00011765793897211552,0.05778397596441209,2.0,2.0,31.075318269536854
four_rooms,21,four_rooms_21,0.05,one_shot_rd_t0p15,operator_only,404,4,101.0,"[0, 181, 394, 403]",False,0.04340304294601083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,"[0, 403]","[181, 394]","{""181"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""394"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",61,6.371401207007837e-07,True,,2026-07-10T21:51:09,0.00541628198698163,0.009569455054588616,0.0028741268906742334,0.025355236022733152,0.00012040405999869108,0.04340304294601083,2.0,1.787200412988663,57.84804111828121
four_rooms,21,four_rooms_21,0.1,one_shot_rd_t0p15,operator_only,404,4,101.0,"[0, 181, 394, 403]",False,0.043424883973784745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,"[0, 403]","[181, 394]","{""181"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""394"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",71,9.867300822719612e-07,True,,2026-07-10T21:51:09,0.005346634075976908,0.009450363926589489,0.0031335160601884127,0.025312634999863803,0.00011976796668022871,0.043424883973784745,2.0,1.61034521622492,72.85616691393828
four_rooms,31,four_rooms_31,0.0,one_shot_rd_t0p15,operator_only,904,4,226.0,"[0, 421, 889, 903]",False,0.08433280407916754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,"[0, 903]","[421, 889]","{""421"": [""control"", ""flow"", ""green"", ""topology""], ""889"": [""control"", ""flow"", ""green"", ""topology""]}",61,0.0,True,,2026-07-10T21:51:09,0.00996301299892366,0.01817658799700439,0.003197037964127958,0.05269222892820835,0.00017943501006811857,0.08433280407916754,2.0,2.0,91.12190754129627
four_rooms,31,four_rooms_31,0.05,one_shot_rd_t0p15,operator_only,904,4,226.0,"[0, 421, 889, 903]",False,0.095305614056997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,"[0, 903]","[421, 889]","{""421"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""889"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",84,8.183190309188834e-07,True,,2026-07-10T21:51:09,0.012695249984972179,0.0213141399435699,0.00426377693656832,0.05672844999935478,0.00018114002887159586,0.095305614056997,2.0,1.6998159594244209,103.43201078474706
four_rooms,31,four_rooms_31,0.1,one_shot_rd_t0p15,operator_only,904,4,226.0,"[0, 421, 889, 903]",False,0.09704695700202137,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,"[0, 903]","[421, 889]","{""421"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""889"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",97,8.795951812054633e-07,True,,2026-07-10T21:51:09,0.0123701689299196,0.021355287986807525,0.004697956028394401,0.05830003693699837,0.0001984291011467576,0.09704695700202137,2.0,1.4770051548221457,109.07090995922415
maze,21,maze_21,0.0,one_shot_rd_t0p15,operator_only,199,20,9.95,"[0, 9, 15, 23, 25, 27, 29, 30, 32, 45, 47, 51, 53, 65, 67, 104, 106, 169, 171, 198]",False,0.02128565905150026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,18,"[0, 198]","[9, 15, 23, 25, 27, 29, 30, 32, 45, 47, 51, 53, 65, 67, 104, 106, 169, 171]","{""9"": [""control"", ""flow"", ""green"", ""topology""], ""15"": [""control"", ""flow"", ""topology""], ""23"": [""control"", ""flow"", ""topology""], ""25"": [""control"", ""flow"", ""topology""], ""27"": [""control"", ""flow"", ""topology""], ""29"": [""control"", ""flow"", ""topology""], ""30"": [""control"", ""flow"", ""topology""], ""32"": [""control"", ""flow"", ""topology""], ""45"": [""control"", ""flow"", ""topology""], ""47"": [""control"", ""flow"", ""topology""], ""51"": [""control"", ""flow"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""65"": [""control"", ""flow"", ""topology""], ""67"": [""control"", ""flow"", ""topology""], ""104"": [""control"", ""flow"", ""topology""], ""106"": [""control"", ""flow"", ""topology""], ""169"": [""control"", ""flow"", ""topology""], ""171"": [""control"", ""flow"", ""topology""], ""194"": [""control"", ""flow"", ""green"", ""topology""]}",126,0.0,True,,2026-07-10T21:51:09,0.0018727279966697097,0.004063470056280494,0.0036656640004366636,0.011478443979285657,0.00016260100528597832,0.02128565905150026,20.0,1.0,15626.089432291421
maze,21,maze_21,0.05,one_shot_rd_t0p15,operator_only,199,20,9.95,"[0, 9, 15, 23, 25, 27, 29, 30, 32, 45, 47, 51, 53, 65, 67, 104, 106, 169, 171, 198]",False,0.023304749047383666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,18,"[0, 198]","[9, 15, 23, 25, 27, 29, 30, 32, 45, 47, 51, 53, 65, 67, 104, 106, 169, 171]","{""9"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""15"": [""control"", ""flow"", ""topology""], ""23"": [""control"", ""flow"", ""green"", ""topology""], ""25"": [""control"", ""flow"", ""topology""], ""27"": [""control"", ""flow"", ""topology""], ""29"": [""control"", ""flow"", ""topology""], ""30"": [""control"", ""flow"", ""topology""], ""32"": [""control"", ""flow"", ""topology""], ""45"": [""control"", ""flow"", ""topology""], ""47"": [""control"", ""flow"", ""topology""], ""51"": [""control"", ""flow"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""65"": [""control"", ""flow"", ""topology""], ""67"": [""control"", ""flow"", ""topology""], ""104"": [""control"", ""flow"", ""green"", ""topology""], ""106"": [""control"", ""flow"", ""green"", ""topology""], ""169"": [""control"", ""flow"", ""topology""], ""171"": [""control"", ""flow"", ""topology""], ""194"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",152,8.489082620764954e-07,True,,2026-07-10T21:51:09,0.0022148030111566186,0.0045441159745678306,0.004040702013298869,0.012292506988160312,0.0001706650946289301,0.023304749047383666,20.0,1.000307811421818,14624.36197309261
maze,21,maze_21,0.1,one_shot_rd_t0p15,operator_only,199,20,9.95,"[0, 9, 15, 23, 25, 27, 29, 30, 32, 45, 47, 51, 53, 65, 67, 104, 106, 169, 171, 198]",False,0.0243304610485211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,18,"[0, 198]","[9, 15, 23, 25, 27, 29, 30, 32, 45, 47, 51, 53, 65, 67, 104, 106, 169, 171]","{""9"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""15"": [""control"", ""flow"", ""topology""], ""23"": [""control"", ""flow"", ""green"", ""topology""], ""25"": [""control"", ""flow"", ""green"", ""topology""], ""27"": [""control"", ""flow"", ""topology""], ""29"": [""control"", ""flow"", ""topology""], ""30"": [""control"", ""flow"", ""topology""], ""32"": [""control"", ""flow"", ""topology""], ""45"": [""control"", ""flow"", ""green"", ""topology""], ""47"": [""control"", ""flow"", ""green"", ""topology""], ""51"": [""control"", ""flow"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""65"": [""control"", ""flow"", ""green"", ""topology""], ""67"": [""control"", ""flow"", ""green"", ""topology""], ""104"": [""control"", ""flow"", ""green"", ""topology""], ""106"": [""control"", ""flow"", ""green"", ""topology""], ""169"": [""control"", ""flow"", ""topology""], ""171"": [""control"", ""flow"", ""green"", ""topology""], ""194"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""]}",169,8.958473737450527e-07,True,,2026-07-10T21:51:09,0.002113051014021039,0.004756252048537135,0.004790798062458634,0.01245434198062867,0.00016303500160574913,0.0243304610485211,20.0,1.001377121026711,14231.531529857244
maze,31,maze_31,0.0,one_shot_rd_t0p15,operator_only,449,20,22.45,"[0, 4, 35, 37, 64, 70, 99, 101, 137, 190, 192, 219, 221, 223, 225, 248, 250, 251, 255, 448]",False,0.04700854606926441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,18,"[0, 448]","[4, 35, 37, 64, 70, 99, 101, 137, 190, 192, 219, 221, 223, 225, 248, 250, 251, 255]","{""4"": [""control"", ""flow"", ""green"", ""topology""], ""11"": [""control"", ""flow"", ""green"", ""topology""], ""19"": [""control"", ""flow"", ""topology""], ""20"": [""control"", ""flow"", ""topology""], ""24"": [""control"", ""flow"", ""topology""], ""35"": [""control"", ""flow"", ""green"", ""topology""], ""37"": [""control"", ""flow"", ""green"", ""topology""], ""51"": [""control"", ""flow"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""64"": [""control"", ""flow"", ""green"", ""topology""], ""70"": [""control"", ""flow"", ""green"", ""topology""], ""80"": [""control"", ""flow"", ""topology""], ""82"": [""control"", ""flow"", ""topology""], ""99"": [""control"", ""flow"", ""green"", ""topology""], ""101"": [""control"", ""flow"", ""green"", ""topology""], ""109"": [""control"", ""flow"", ""topology""], ""111"": [""control"", ""flow"", ""topology""], ""133"": [""control"", ""flow"", ""topology""], ""137"": [""control"", ""flow"", ""topology""], ""169"": [""control"", ""flow"", ""green"", ""topology""], ""171"": [""control"", ""flow"", ""topology""], ""190"": [""control"", ""flow"", ""green"", ""topology""], ""192"": [""control"", ""flow"", ""green"", ""topology""], ""201"": [""control"", ""flow"", ""topology""], ""203"": [""control"", ""flow"", ""topology""], ""219"": [""control"", ""flow"", ""topology""], ""221"": [""control"", ""flow"", ""topology""], ""223"": [""control"", ""flow"", ""topology""], ""225"": [""control"", ""flow"", ""topology""], ""226"": [""control"", ""flow"", ""topology""], ""228"": [""flow"", ""green"", ""topology""], ""234"": [""flow"", ""green"", ""topology""], ""248"": [""control"", ""flow"", ""green"", ""topology""], ""250"": [""control"", ""flow"", ""green"", ""topology""], ""251"": [""control"", ""flow"", ""topology""], ""255"": [""control"", ""flow"", ""topology""], ""264"": [""control"", ""flow"", ""topology""]}",256,0.00041073713754933243,True,,2026-07-10T21:51:09,0.00450270704459399,0.00908490305300802,0.006957884994335473,0.02611437498126179,0.00027313397731631994,0.04700854606926441,20.0,25.0,96050.94425473375
maze,31,maze_31,0.05,one_shot_rd_t0p15,operator_only,449,20,22.45,"[0, 4, 35, 37, 64, 70, 99, 101, 137, 190, 192, 219, 221, 223, 225, 248, 250, 251, 255, 448]",False,0.051113567082211375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,18,"[0, 448]","[4, 35, 37, 64, 70, 99, 101, 137, 190, 192, 219, 221, 223, 225, 248, 250, 251, 255]","{""4"": [""control"", ""flow"", ""green"", ""topology""], ""11"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""19"": [""control"", ""flow"", ""topology""], ""20"": [""control"", ""flow"", ""topology""], ""24"": [""control"", ""flow"", ""topology""], ""35"": [""control"", ""flow"", ""green"", ""topology""], ""37"": [""control"", ""flow"", ""green"", ""topology""], ""51"": [""control"", ""flow"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""64"": [""control"", ""flow"", ""green"", ""topology""], ""70"": [""control"", ""flow"", ""green"", ""topology""], ""80"": [""control"", ""flow"", ""topology""], ""82"": [""control"", ""flow"", ""topology""], ""99"": [""control"", ""flow"", ""green"", ""topology""], ""101"": [""control"", ""flow"", ""green"", ""topology""], ""109"": [""control"", ""flow"", ""topology""], ""111"": [""control"", ""flow"", ""topology""], ""133"": [""control"", ""flow"", ""topology""], ""137"": [""control"", ""flow"", ""topology""], ""169"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""171"": [""control"", ""flow"", ""topology""], ""190"": [""control"", ""flow"", ""green"", ""topology""], ""192"": [""control"", ""flow"", ""green"", ""topology""], ""201"": [""control"", ""flow"", ""topology""], ""203"": [""control"", ""flow"", ""topology""], ""219"": [""control"", ""flow"", ""green"", ""topology""], ""221"": [""control"", ""flow"", ""green"", ""topology""], ""223"": [""control"", ""flow"", ""topology""], ""225"": [""control"", ""flow"", ""topology""], ""226"": [""control"", ""flow"", ""topology""], ""228"": [""flow"", ""green"", ""stochastic"", ""topology""], ""234"": [""flow"", ""green"", ""stochastic"", ""topology""], ""248"": [""control"", ""flow"", ""green"", ""topology""], ""250"": [""control"", ""flow"", ""green"", ""topology""], ""251"": [""control"", ""flow"", ""green"", ""topology""], ""255"": [""control"", ""flow"", ""topology""], ""446"": [""green"", ""stochastic""]}",256,3.064122743141213e-05,True,,2026-07-10T21:51:09,0.005239057936705649,0.010405167005956173,0.0076017159735783935,0.027497917995788157,0.0002888080198317766,0.051113567082211375,20.0,25.000911526074614,71537.15613120548
maze,31,maze_31,0.1,one_shot_rd_t0p15,operator_only,449,20,22.45,"[0, 4, 35, 37, 64, 70, 99, 101, 137, 190, 192, 219, 221, 223, 225, 248, 250, 251, 255, 448]",False,0.05174247291870415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,18,"[0, 448]","[4, 35, 37, 64, 70, 99, 101, 137, 190, 192, 219, 221, 223, 225, 248, 250, 251, 255]","{""4"": [""control"", ""flow"", ""green"", ""topology""], ""11"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""19"": [""control"", ""flow"", ""topology""], ""20"": [""control"", ""flow"", ""topology""], ""24"": [""control"", ""flow"", ""topology""], ""35"": [""control"", ""flow"", ""green"", ""topology""], ""37"": [""control"", ""flow"", ""green"", ""topology""], ""51"": [""control"", ""flow"", ""topology""], ""53"": [""control"", ""flow"", ""topology""], ""64"": [""control"", ""flow"", ""green"", ""topology""], ""70"": [""control"", ""flow"", ""green"", ""topology""], ""80"": [""control"", ""flow"", ""topology""], ""82"": [""control"", ""flow"", ""topology""], ""99"": [""control"", ""flow"", ""green"", ""topology""], ""101"": [""control"", ""flow"", ""green"", ""topology""], ""109"": [""control"", ""flow"", ""topology""], ""111"": [""control"", ""flow"", ""topology""], ""133"": [""control"", ""flow"", ""topology""], ""137"": [""control"", ""flow"", ""topology""], ""169"": [""control"", ""flow"", ""green"", ""stochastic"", ""topology""], ""171"": [""control"", ""flow"", ""topology""], ""190"": [""control"", ""flow"", ""green"", ""topology""], ""192"": [""control"", ""flow"", ""green"", ""topology""], ""201"": [""control"", ""flow"", ""topology""], ""203"": [""control"", ""flow"", ""topology""], ""219"": [""control"", ""flow"", ""green"", ""topology""], ""221"": [""control"", ""flow"", ""green"", ""topology""], ""223"": [""control"", ""flow"", ""topology""], ""225"": [""control"", ""flow"", ""topology""], ""226"": [""control"", ""flow"", ""topology""], ""228"": [""flow"", ""green"", ""stochastic"", ""topology""], ""234"": [""green"", ""stochastic""], ""248"": [""control"", ""flow"", ""green"", ""topology""], ""250"": [""control"", ""flow"", ""green"", ""topology""], ""251"": [""control"", ""flow"", ""green"", ""topology""], ""255"": [""control"", ""flow"", ""topology""], ""446"": [""green"", ""stochastic""]}",256,2.0571625770162732e-05,True,,2026-07-10T21:51:09,0.0049163890071213245,0.010058175073936582,0.008187980973161757,0.028221411048434675,0.0002877679653465748,0.05174247291870415,20.0,25.00410052745984,123803.52116723752
