map,slip,step,mode,rank,n_boundary,candidate_batch_size,candidate_states,candidate_state,candidate_coords,base_rate_bits,candidate_rate_bits,rate_delta,base_objective,candidate_objective,gain,base_violation,candidate_violation,violation_gain,base_struct,candidate_struct,struct_delta,base_audit,candidate_audit,audit_delta,base_model,candidate_model,model_delta,base_value,candidate_value,value_delta,base_start_gap,candidate_start_gap,start_gap_delta,struct_break_even_lambda,selected
maze,0.05,0,single,1,2,1,[57],57,"[(5, 19)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,20.034811509162537,19.05174501151793,0.9830664976446073,11.06868903087758,11.051447651567235,0.017241379310345195,12.966122478284957,12.000297359950695,0.9658251183342621,1.332813138330618,1.3325849410068216,0.00022819732379653068,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,2242.4992833942206,False
maze,0.05,0,single,2,2,1,[55],55,"[(5, 17)]",59.09333333333334,98.63044741484372,39.537114081510374,59.09333333333334,98.63044741484372,-39.537114081510374,20.034811509162537,18.06841254451378,1.9663989646487572,11.06868903087758,11.03420627225689,0.03448275862069039,12.966122478284957,11.03420627225689,1.9319162060280668,1.332813138330618,1.3323413785139482,0.0004717598166699144,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,1146.5763083637764,False
maze,0.05,0,single,3,2,1,[4],4,"[(1, 5)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,20.034811509162537,18.844550992328152,1.1902605168343854,11.06868903087758,10.844551080525244,0.2241379503523362,12.966122478284957,11.999999911802908,0.9661225664820492,1.332813138330618,1.3128956034056294,0.01991753492498871,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,172.499930009171,False
maze,0.05,0,single,4,2,1,[35],35,"[(3, 17)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,20.034811509162537,18.03392978589309,2.0008817232694476,11.06868903087758,11.016964892946545,0.051724137931035585,12.966122478284957,11.016964892946545,1.949157585338412,1.332813138330618,1.3320814162718508,0.000731722058767259,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,747.4997611314068,False
maze,0.05,0,single,5,2,1,[26],26,"[(3, 5)]",59.09333333333334,98.63044741484372,39.537114081510374,59.09333333333334,98.63044741484372,-39.537114081510374,20.034811509162537,17.862397716053145,2.172413793109392,11.06868903087758,10.861792479147494,0.20689655173008603,12.966122478284957,11.000605236905653,1.9655172413793043,1.332813138330618,1.3271952014374313,0.005617936893186792,2.921041186709772e-11,2.845013113983441e-11,7.602807272633072e-13,2.921041186709772e-11,2.845013113983441e-11,7.602807272633072e-13,191.09605138847297,False
maze,0.05,0,single,6,2,1,[37],37,"[(3, 19)]",59.09333333333334,98.63044741484372,39.537114081510374,59.09333333333334,98.63044741484372,-39.537114081510374,20.034811509162537,17.999447027272403,2.0353644818901344,11.06868903087758,10.999723513636201,0.068965517241379,12.966122478284957,10.999723513636201,1.9663989646487554,1.332813138330618,1.331803950039185,0.0010091882914331496,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,573.288154181903,False
maze,0.05,0,single,7,2,1,[12],12,"[(1, 15)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,20.034811509162537,17.930481510031022,2.104329999131515,11.06868903087758,10.965240755015511,0.1034482758620694,12.966122478284957,10.965240755015511,2.000881723269446,1.332813138330618,1.330854339334157,0.0019587989964611197,2.921041186709772e-11,2.920685915341892e-11,3.552713678800501e-15,2.921041186709772e-11,2.920685915341892e-11,3.552713678800501e-15,373.7498805657098,False
maze,0.05,0,single,8,2,1,[16],16,"[(1, 19)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,20.034811509162537,17.964964268651713,2.069847240510825,11.06868903087758,10.982482134325856,0.0862068965517242,12.966122478284957,10.982482134325856,1.9836403439591006,1.332813138330618,1.3315078012229242,0.0013053371076938713,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,448.49985667885335,False
maze,0.05,0,batch_prefix,2,2,2,"[12, 26]",,"[(1, 15), (3, 5)]",59.09333333333334,137.75312955720588,78.65979622387255,59.09333333333334,137.75312955720588,-78.65979622387255,20.034811509162537,17.72358495829499,2.3112265508675485,11.06868903087758,10.861792479147494,0.20689655173008603,12.966122478284957,10.861792479147494,2.1043299991374624,1.332813138330618,1.3271952014374313,0.005617936893186792,2.921041186709772e-11,2.8457236567192012e-11,7.531752999057062e-13,2.921041186709772e-11,2.8457236567192012e-11,7.531752999057062e-13,380.18901507112054,False
maze,0.05,0,batch_prefix,3,2,3,"[12, 16, 26]",,"[(1, 15), (1, 19), (3, 5)]",59.09333333333334,174.62502859573735,115.53169526240401,59.09333333333334,174.62502859573735,-115.53169526240401,20.034811509162537,17.72358495829499,2.3112265508675485,11.06868903087758,10.861792479147494,0.20689655173008603,12.966122478284957,10.861792479147494,2.1043299991374624,1.332813138330618,1.3271952014374313,0.005617936893186792,2.921041186709772e-11,2.920330643974012e-11,7.105427357601002e-15,2.921041186709772e-11,2.920330643974012e-11,7.105427357601002e-15,558.4031937522325,False
maze,0.05,0,batch_prefix,4,2,4,"[12, 16, 26, 37]",,"[(1, 15), (1, 19), (3, 5), (3, 19)]",59.09333333333334,211.57207372717642,152.47874039384308,59.09333333333334,211.57207372717642,-152.47874039384308,20.034811509162537,14.792842612154045,5.241968897008492,11.06868903087758,10.861792479147494,0.20689655173008603,12.966122478284957,7.931050133006551,5.035072345278406,1.332813138330618,1.3271952014374313,0.005617936893186792,2.921041186709772e-11,2.8972380050618085e-11,2.3803181647963356e-13,2.921041186709772e-11,2.8972380050618085e-11,2.3803181647963356e-13,736.980578549054,True
maze,0.05,1,single,1,6,1,[28],28,"[(3, 7)]",203.1208626153441,242.52412095011968,39.403258334775586,203.1208626153441,242.52412095011968,-39.403258334775586,14.792842612154045,13.14905638626185,1.6437862258921943,10.861792479147494,10.861792479147494,0.0,7.931050133006551,6.2872639071143555,1.6437862258921951,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.8968827336939285e-11,3.552713678800501e-15,2.8972380050618085e-11,2.8968827336939285e-11,3.552713678800501e-15,inf,False
maze,0.05,1,single,2,6,1,[34],34,"[(3, 15)]",203.1208626153441,242.52412095011968,39.403258334775586,203.1208626153441,242.52412095011968,-39.403258334775586,14.792842612154045,13.149261830126504,1.6435807820275414,10.861792479147494,10.861792479147494,0.0,7.931050133006551,6.287469350979009,1.6435807820275414,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,inf,False
maze,0.05,1,single,3,6,1,[5],5,"[(1, 7)]",203.1208626153441,240.777454283453,37.656591668108916,203.1208626153441,240.777454283453,-37.656591668108916,14.792842612154045,12.528671230263749,2.2641713818902964,10.861792479147494,10.861792479147494,0.0,7.931050133006551,5.666878751116254,2.2641713818902964,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.8968827336939285e-11,3.552713678800501e-15,2.8972380050618085e-11,2.8968827336939285e-11,3.552713678800501e-15,inf,False
maze,0.05,1,single,4,6,1,[32],32,"[(3, 13)]",203.1208626153441,242.52412095011968,39.403258334775586,203.1208626153441,242.52412095011968,-39.403258334775586,14.792842612154045,12.528671324967439,2.264171287186606,10.861792479147494,10.861792479147494,0.0,7.931050133006551,5.666878845819944,2.264171287186606,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,inf,False
maze,0.05,1,single,5,6,1,[11],11,"[(1, 13)]",203.1208626153441,240.777454283453,37.656591668108916,203.1208626153441,240.777454283453,-37.656591668108916,14.792842612154045,12.528568760914478,2.264273851239567,10.861792479147494,10.861792479147494,0.0,7.931050133006551,5.666776281766983,2.264273851239568,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.8968827336939285e-11,3.552713678800501e-15,2.8972380050618085e-11,2.8968827336939285e-11,3.552713678800501e-15,inf,False
maze,0.05,1,single,6,6,1,[57],57,"[(5, 19)]",203.1208626153441,241.65078761678635,38.52992500144225,203.1208626153441,241.65078761678635,-38.52992500144225,14.792842612154045,13.81592849677373,0.9769141153803158,10.861792479147494,10.861792479147494,0.0,7.931050133006551,6.954136017626236,0.9769141153803149,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,inf,False
maze,0.05,1,single,7,6,1,[35],35,"[(3, 17)]",203.1208626153441,241.65078761678635,38.52992500144225,203.1208626153441,241.65078761678635,-38.52992500144225,14.792842612154045,13.81592849677373,0.9769141153803158,10.861792479147494,10.861792479147494,0.0,7.931050133006551,6.954136017626236,0.9769141153803149,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.921041186709772e-11,-2.3803181647963356e-13,2.8972380050618085e-11,2.921041186709772e-11,-2.3803181647963356e-13,inf,False
maze,0.05,1,single,8,6,1,[55],55,"[(5, 17)]",203.1208626153441,242.52412095011968,39.403258334775586,203.1208626153441,242.52412095011968,-39.403258334775586,14.792842612154045,13.81592849677373,0.9769141153803158,10.861792479147494,10.861792479147494,0.0,7.931050133006551,6.954136017626236,0.9769141153803149,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,inf,False
maze,0.05,1,batch_prefix,2,6,2,"[5, 11]",,"[(1, 7), (1, 13)]",203.1208626153441,279.00332165914267,75.88245904379858,203.1208626153441,279.00332165914267,-75.88245904379858,14.792842612154045,12.528568760914478,2.264273851239567,10.861792479147494,10.861792479147494,0.0,7.931050133006551,5.666776281766983,2.264273851239568,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,2.8972380050618085e-11,2.8975932764296886e-11,-3.552713678800501e-15,inf,False
maze,0.05,1,batch_prefix,3,6,3,"[5, 11, 32]",,"[(1, 7), (1, 13), (3, 13)]",203.1208626153441,317.2268072065197,114.10594459117561,203.1208626153441,317.2268072065197,-114.10594459117561,14.792842612154045,11.861874714163232,2.930967897990813,10.861792479147494,10.861792479147494,0.0,7.931050133006551,5.0000822350157375,2.930967897990813,1.3271952014374313,1.3271952014374315,-2.220446049250313e-16,2.8972380050618085e-11,2.8972380050618085e-11,0.0,2.8972380050618085e-11,2.8972380050618085e-11,0.0,inf,False
maze,0.05,1,batch_prefix,4,6,4,"[5, 11, 28, 32]",,"[(1, 7), (1, 13), (3, 7), (3, 13)]",203.1208626153441,354.9438467325124,151.8229841171683,203.1208626153441,354.9438467325124,-151.8229841171683,14.792842612154045,11.461858286112498,3.3309843260415466,10.861792479147494,10.861792479147498,-3.552713678800501e-15,7.931050133006551,4.600065806965001,3.3309843260415493,1.3271952014374313,1.3271952014374313,0.0,2.8972380050618085e-11,2.920330643974012e-11,-2.3092638912203256e-13,2.8972380050618085e-11,2.920330643974012e-11,-2.3092638912203256e-13,inf,True
maze,0.05,2,single,1,10,1,[57],57,"[(5, 19)]",346.49263562068006,385.98446083218755,39.49182521150749,346.49263562068006,385.98446083218755,-39.49182521150749,11.461858286112498,10.338244992930472,1.1236132931820269,10.861792479147498,10.861792479147498,0.0,4.600065806965001,3.476452513782973,1.1236132931820282,1.3271952014374313,1.3271952014374313,0.0,2.920330643974012e-11,2.919975372606132e-11,3.552713678800501e-15,2.920330643974012e-11,2.919975372606132e-11,3.552713678800501e-15,inf,False
maze,0.05,2,single,2,10,1,[35],35,"[(3, 17)]",346.49263562068006,385.98446083218755,39.49182521150749,346.49263562068006,385.98446083218755,-39.49182521150749,11.461858286112498,10.364720897296147,1.0971373888163516,10.861792479147498,10.861792479147494,3.552713678800501e-15,4.600065806965001,3.502928418148653,1.0971373888163485,1.3271952014374313,1.3271952014374313,0.0,2.920330643974012e-11,2.9196201012382517e-11,7.105427357601002e-15,2.920330643974012e-11,2.9196201012382517e-11,7.105427357601002e-15,inf,False
maze,0.05,2,single,3,10,1,[55],55,"[(5, 17)]",346.49263562068006,386.8577941655209,40.365158544840824,346.49263562068006,386.8577941655209,-40.365158544840824,11.461858286112498,9.534466439970723,1.9273918461417754,10.861792479147498,10.861792479147498,0.0,4.600065806965001,2.672673960823225,1.9273918461417763,1.3271952014374313,1.3271952014374313,0.0,2.920330643974012e-11,2.919975372606132e-11,3.552713678800501e-15,2.920330643974012e-11,2.919975372606132e-11,3.552713678800501e-15,inf,False
maze,0.05,2,single,4,10,1,[23],23,"[(3, 1)]",346.49263562068006,386.8577941655209,40.365158544840824,346.49263562068006,386.8577941655209,-40.365158544840824,11.461858286112498,3.3646789974804916,8.097179288632006,10.861792479147498,0.017236165709101903,10.844556313438396,4.600065806965001,5.364678997480492,-0.7646131905154903,1.3271952014374313,0.10929203403156419,1.2179031674058671,2.920330643974012e-11,1.637801005927031e-11,1.2825296380469808e-11,2.920330643974012e-11,1.637801005927031e-11,1.2825296380469808e-11,3.722158599962359,False
