paper_claim,math_object,proof_symbols,proof_status,experiment_artifact,experiment_status,manuscript_location,remaining_gap
The frozen split score is an exact finite difference of a fixed local RD objective.,S_FD(x|B)=L_theta(B)-L_theta(B union {x}),FrozenObjective.fd_exact; MultiProbeObjective.fd_exact,proved_symbol_present,experiments/output/rd_operator_theorem_checks_actual_small/summary.csv,"rows=9, margin_condition=1, stable_when_checked=1","Method theorem, not adaptive solver guarantee",State frozen candidate universe/options/weights explicitly.
First-hit Green kernels define legal compressed edge models on finite absorbing interiors.,K=e_b^T (I-P_II)^(-1) P_IC,green_formula_solves_linear_system; green_formula_entry_nonnegative; green_entry_le_rowBound,proved_symbol_present,experiments/output/core_benchmark/core_benchmark.csv,"rows=80, graph_rows=70, max_start_gap=0.04973",Graph-SMDP construction,Use exact Green as reference operator; adaptive/truncated variants are certified implementations.
Truncated/adaptive Green scores are certified by Neumann tail bounds.,sum_{t<=K} P_II^t P_IC with tail <= epsilon,finite_neumann_tail_entry_le_geometric; error_le_tailBound; spectral_certificate_signed_finite_neumann_tail_entry_abs_le,proved_symbol_present,experiments/output/adaptive_green_certification/certification_summary.csv,"rows=20, final=20, tie_aware_final=20",Implementation theorem and appendix certificate,Report when tie/top-set exact fallback is used rather than hiding it as speed.
Bits distortion admits a controlled finite-difference/Taylor approximation.,phi(h)=-log2(1-h+eps),bitsPhi_iteratedDerivWithin_two_eq; bitsPhi_taylor_remainder_bound_from_delta_auto; finite_difference_taylor_error,proved_symbol_present,experiments/output/rd_operator_theorem_checks_actual_small/summary.csv,"rows=9, margin_condition=1, stable_when_checked=1",Operator approximation and ablation,Keep finite-difference score as the main theorem; gradient score is an approximation.
The graph-SMDP Bellman backup is a sup-norm contraction under finite options and gamma<1.,||T V - T W||_infty <= gamma ||V-W||_infty,optionQ_lipschitz; bellmanMax_lipschitz; residual_to_value_gap_real_budget,proved_symbol_present,experiments/output/core_benchmark/core_benchmark.csv,"rows=80, graph_rows=70, max_start_gap=0.04973",Planning correctness lemma,Tie value-gap reporting to residual diagnostics in each benchmark table.
Margin and top-set certificates separate stable operator decisions from ambiguous ties.,m>2 epsilon_adapt implies stable top choice,margin_stability; interval_certified_top_choice; top_set_exact_fallback_global_optimal,proved_symbol_present,experiments/output/adaptive_green_certification/certification_summary.csv,"rows=20, final=20, tie_aware_final=20",Certificate table,Use tie-aware timing as the conservative runtime accounting.
Group-constrained RD makes robustness constraints explicit instead of hiding them in a scalar risk.,"forall group, risk_g(B) <= budget_g",GroupConstraints; feasible_of_zero_violations,proved_symbol_present,experiments/output/group_constrained_adaptive_large/group_constrained_adaptive_large.csv,"rows=18, feasible=12",Robust objective and main ablation,Use random-maze and held-out probes to show robustness is not hand-tuned to one map.
"Incremental insertion scoring is an implementation optimization, not a new theorem yet.",parent-to-child boundary insertion update,none,lean_pending,experiments/output/incremental_green_update/incremental_green_update.csv,"rows=30, selected_match=26, max_score_error=233.2","Runtime ablation, not core correctness theorem",Formalize the insertion algebra only if it becomes a central claim.
"The extracted graph should generalize across maze instances, not only fixed toy layouts.",same objective on held-out DFS maze family,not_a_theorem,empirical_stress_test,experiments/output/random_maze_generalization/random_maze_generalization.csv,"rows=6, feasible=3",Generalization/stress-test section,Scale to larger random maps on node001-node006 for final paper numbers.
